,four,one,three,two
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d14011991-Reviews-The_Live_Thriller-Paris_Ile_de_France.html,The Live Thriller,Chasses au tr√©sor,112
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d13563971-Reviews-Quest_Factory-Paris_Ile_de_France.html,Quest Factory,Jeux d'√©vasion,129
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8843110-Reviews-One_Hour_Live_Escape_Game-Paris_Ile_de_France.html,One Hour ‚Äì Live Escape Game,Jeux d'√©vasion,2426
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7340269-Reviews-The_Game-Paris_Ile_de_France.html,The Game,Jeux d'√©vasion,5443
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d9732433-Reviews-Epsilon_Escape-Paris_Ile_de_France.html,Epsilon Escape,Jeux d'√©vasion,534
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7039096-Reviews-Gamescape-Paris_Ile_de_France.html,Gamescape,Jeux d'√©vasion,1237
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d13791858-Reviews-Incarna-Paris_Ile_de_France.html,Incarna,,75
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12004632-Reviews-ClueZ_Paris-Paris_Ile_de_France.html,ClueZ Paris,Chasses au tr√©sor,83
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8657496-Reviews-Lock_Academy-Paris_Ile_de_France.html,Lock Academy,Jeux d'√©vasion,1819
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d13008018-Reviews-Immersia-Paris_Ile_de_France.html,Immersia,Jeux d'√©vasion,94
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d2221379-Reviews-Flight_Experience-Paris_Ile_de_France.html,Flight Experience,,406
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8614249-Reviews-TEAM_TIME_Live_Escape_Game-Paris_Ile_de_France.html,TEAM-TIME : Live Escape Game,Jeux d'√©vasion,1212
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d13023697-Reviews-Majestic_Escape_Game-Paris_Ile_de_France.html,Majestic Escape Game,Jeux d'√©vasion,82
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6983401-Reviews-Team_Break_Paris_9-Paris_Ile_de_France.html,Team Break Paris 9,Jeux d'√©vasion,459
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d5039754-Reviews-HintHunt_Paris-Paris_Ile_de_France.html,HintHunt Paris,Jeux d'√©vasion,2146
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10021387-Reviews-Tempete_sous_un_crane-Paris_Ile_de_France.html,Temp√™te sous un cr√¢ne,Jeux d'√©vasion,334
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12912290-Reviews-Crack_The_Egg-Paris_Ile_de_France.html,Crack The Egg,Jeux d'√©vasion,291
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12403992-Reviews-VirtualRoom_Virtual_Reality_Paris-Paris_Ile_de_France.html,VirtualRoom - R√©alit√© Virtuelle Paris,,230
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8661065-Reviews-Flight_in_Paris-Paris_Ile_de_France.html,Flight in Paris,,127
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d2717927-Reviews-THATLou_Treasure_Hunt_at_the_Louvre-Paris_Ile_de_France.html,"THATLou, Treasure Hunt at the Louvre",Chasses au tr√©sor,375
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7395708-Reviews-LeavinRoom-Paris_Ile_de_France.html,LeavinRoom,Jeux d'√©vasion,1086
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12124368-Reviews-The_Skeleton_Key-Paris_Ile_de_France.html,The Skeleton Key,Jeux d'√©vasion,171
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d11978318-Reviews-Kairos_Escape-Paris_Ile_de_France.html,Kairos Escape,,381
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d11799177-Reviews-Phobia_Escape_Game_Paris-Paris_Ile_de_France.html,Phobia Escape Game Paris,Jeux d'√©vasion,584
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6511311-Reviews-Mystery_Escape-Paris_Ile_de_France.html,Mystery Escape,Jeux d'√©vasion,1341
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8602664-Reviews-The_Escape_Agency-Paris_Ile_de_France.html,The Escape Agency,Jeux d'√©vasion,191
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7762365-Reviews-Paris_Ma_Belle-Paris_Ile_de_France.html,Paris Ma Belle,Chasses au tr√©sor,187
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d5484728-Reviews-Quiveutpister_Paris-Paris_Ile_de_France.html,Quiveutpister Paris,Autres jeux et divertissements,192
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8281735-Reviews-Escape_Hunt_Paris-Paris_Ile_de_France.html,Escape Hunt,Jeux d'√©vasion,913
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12013252-Reviews-Indicium-Paris_Ile_de_France.html,Indicium,Jeux d'√©vasion,230
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12910048-Reviews-Les_Cognees-Paris_Ile_de_France.html,Les Cogn√©es,,102
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7077667-Reviews-La_Piece-Paris_Ile_de_France.html,La Piece,Jeux d'√©vasion,185
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7112256-Reviews-Prizoners-Paris_Ile_de_France.html,Prizoners,Jeux d'√©vasion,702
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6825448-Reviews-X_Dimension-Paris_Ile_de_France.html,X-Dimension,Jeux d'√©vasion,461
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10232627-Reviews-Destination_Danger-Paris_Ile_de_France.html,Destination Danger,Jeux d'√©vasion,264
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d2228998-Reviews-Le_Manoir_de_Paris-Paris_Ile_de_France.html,Le Manoir de Paris,Spectacles,1287
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7061416-Reviews-Happy_Hour_Escape_Game-Paris_Ile_de_France.html,Happy Hour Escape Game,Jeux d'√©vasion,979
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8559983-Reviews-Fox_in_a_Box_Paris-Paris_Ile_de_France.html,Fox in a Box Paris,Jeux d'√©vasion,311
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8336981-Reviews-L_Antichambre-Paris_Ile_de_France.html,L'Antichambre,Jeux d'√©vasion,384
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8412949-Reviews-Victory_Escape_Game_Opera-Paris_Ile_de_France.html,Victory Escape Game Op√©ra,Jeux d'√©vasion,356
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8092631-Reviews-60_Minutes_Escape-Paris_Ile_de_France.html,60 Minutes Escape,Jeux d'√©vasion,118
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d13848345-Reviews-FlyView_Paris-Paris_Ile_de_France.html,FlyView Paris,,149
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12180437-Reviews-Lock_Busters_Paris_Escape_Game-Paris_Ile_de_France.html,Lock Busters,Jeux d'√©vasion,105
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12899194-Reviews-The_Escape_Lab-Paris_Ile_de_France.html,The Escape Lab',Jeux d'√©vasion,128
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d245098-Reviews-Le_Point_Virgule-Paris_Ile_de_France.html,Le Point Virgule,Spectacles humoristiques,91
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d4310592-Reviews-Le_Grand_Point_Virgule-Paris_Ile_de_France.html,le Grand Point Virgule,Autres jeux et divertissements,183
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d3808245-Reviews-Vincennes_Hippodrome_de_Paris-Paris_Ile_de_France.html,Vincennes Hippodrome de Paris,Hippodromes,135
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d13336782-Reviews-ARTIMUS_Escape_Game-Paris_Ile_de_France.html,ARTIMUS Escape Game,Jeux d'√©vasion,49
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d13238799-Reviews-L_Escapatoire-Paris_Ile_de_France.html,L'Escapatoire,Jeux d'√©vasion,33
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d245070-Reviews-La_Geode-Paris_Ile_de_France.html,La G√©ode,Salles de cin√©ma,262
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d602583-Reviews-Longchamp_Racecourse-Paris_Ile_de_France.html,Hippodrome de Longchamp,Hippodromes,112
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12280807-Reviews-Criminal_Quest-Paris_Ile_de_France.html,Criminal Quest,Jeux d'√©vasion,64
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10389604-Reviews-AviaSim_Paris-Paris_Ile_de_France.html,AviaSim Paris,,28
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d245089-Reviews-Le_Grenier_Diner_SpectacleLe_Grenier-Paris_Ile_de_France.html,Le Grenier D√Æner Spectacle,Spectacles humoristiques,126
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d11811003-Reviews-IFLY_Paris-Paris_Ile_de_France.html,iFLY Paris,,105
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12246877-Reviews-Laser_World_Laser_tag-Paris_Ile_de_France.html,Laser World - Lasergame,,60
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10681296-Reviews-Le_Fil_Rouge-Paris_Ile_de_France.html,Le Fil Rouge,,25
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d245137-Reviews-Studio_Galande-Paris_Ile_de_France.html,Studio Galande,Salles de cin√©ma,64
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d245144-Reviews-Theatre_Lucernaire-Paris_Ile_de_France.html,Th√©√¢tre Lucernaire,Salles de cin√©ma,28
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10620879-Reviews-UGC_Cine_Cite_Bercy-Paris_Ile_de_France.html,UGC Cine Cite Bercy,Salles de cin√©ma,33
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d4133603-Reviews-Cinema_louxor_75010-Paris_Ile_de_France.html,Cinema louxor 75010,Salles de cin√©ma,26
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d545590-Reviews-MK2_Bibliotheque-Paris_Ile_de_France.html,MK2 Biblioth√®que,Salles de cin√©ma,76
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d5953754-Reviews-Le_Labo_Culinaire-Paris_Ile_de_France.html,Le Labo Culinaire,Autres jeux et divertissements,77
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d4267224-Reviews-SoGymnase_Comedy_Club-Paris_Ile_de_France.html,SoGymnase Comedy Club,Bars et clubs,29
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12907121-Reviews-Again_Productions-Paris_Ile_de_France.html,Again! Productions,"Spectacles humoristiques, Spectacles",15
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d4472366-Reviews-La_Tete_Dans_Les_Nuages-Paris_Ile_de_France.html,La Tete Dans Les Nuages,Autres jeux et divertissements,80
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d9568589-Reviews-Palais_des_Glaces-Paris_Ile_de_France.html,Palais des Glaces,"Spectacles humoristiques, Th√©√¢tres",23
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8760999-Reviews-Square_du_Temple-Paris_Ile_de_France.html,Square du Temple,,22
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d13273959-Reviews-Sparkling_VR-Paris_Ile_de_France.html,Sparkling VR,,13
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d4997636-Reviews-The_Great_British_American_Comedy_Night-Paris_Ile_de_France.html,The Great British American Comedy Night,"Spectacles, Spectacles humoristiques",31
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d1587596-Reviews-Paris_Story_Le_film-Paris_Ile_de_France.html,Paris Story Le film,Salles de cin√©ma,179
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d244992-Reviews-Place_Denfert_Rochereau-Paris_Ile_de_France.html,Place Denfert-Rochereau,Salles de cin√©ma,33
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d195058-Reviews-Hippodrome_d_Auteuil-Paris_Ile_de_France.html,Hippodrome d'Auteuil,Hippodromes,26
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12357343-Reviews-MindOut-Paris_Ile_de_France.html,MindOut,Champs de bataille,14
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d245136-Reviews-Studio_28-Paris_Ile_de_France.html,Studio 28,Salles de cin√©ma,18
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d13323845-Reviews-Escape_Kid-Paris_Ile_de_France.html,Escape-Kid,Jeux d'√©vasion,10
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d11979002-Reviews-Yoo_Moov_Stations-Paris_Ile_de_France.html,Yoo Moov Stations,"Parcs √† th√®me, Parcs",45
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10509653-Reviews-Cinema_Les_Fauvettes-Paris_Ile_de_France.html,Cinema Les Fauvettes,Salles de cin√©ma,16
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8540366-Reviews-UGC_Cine_Cite_Paris_19-Paris_Ile_de_France.html,UGC Cin√© Cit√© Paris 19,Salles de cin√©ma,26
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d13958277-Reviews-Leave_in_time-Paris_Ile_de_France.html,Leave in time,Jeux d'√©vasion,11
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8873870-Reviews-Square_Rene_Le_Gall-Paris_Ile_de_France.html,Square Ren√©-Le Gall,,18
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8743147-Reviews-Extra_Life_Cafe-Paris_Ile_de_France.html,Extra Life Caf√©,Biblioth√®ques,11
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d4093040-Reviews-Seine_Avenue-Paris_Ile_de_France.html,Seine Avenue,Autres jeux et divertissements,13
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8064265-Reviews-Le_Spectre_de_Paris-Paris_Ile_de_France.html,Le Spectre de Paris,"Jeux d'√©vasion, Chasses au tr√©sor",24
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d245110-Reviews-Max_Linder_Panorama-Paris_Ile_de_France.html,Max Linder Panorama,Salles de cin√©ma,11
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d245084-Reviews-Le_Cinema_des_Cineastes-Paris_Ile_de_France.html,Le Cin√©ma des cin√©astes,Salles de cin√©ma,11
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d2512694-Reviews-Le_Bowling_Mouffetard-Paris_Ile_de_France.html,Le Bowling Mouffetard,Bowlings,83
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d600907-Reviews-Cine_13-Paris_Ile_de_France.html,Cine 13,Salles de cin√©ma,12
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8831115-Reviews-Life_Drawing_Montmartre-Paris_Ile_de_France.html,Life Drawing Montmartre,Ateliers de peinture et de poterie,8
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d9803306-Reviews-Lasergame_Evolution_Paris_14-Paris_Ile_de_France.html,Lasergame Evolution Paris-14,,10
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d13171501-Reviews-Rashomon_Escape_Game-Paris_Ile_de_France.html,Rashomon Escape,Jeux d'√©vasion,7
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d545588-Reviews-La_Pagode-Paris_Ile_de_France.html,La Pagode,Salles de cin√©ma,26
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10225473-Reviews-Dynamo_Cycling-Paris_Ile_de_France.html,Dynamo Cycling,Centres de remise en forme,6
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8336716-Reviews-Le_Tigre_du_Bain_Balles-Paris_Ile_de_France.html,Le Tigre du Bain Balles,,7
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10156953-Reviews-Oh_My_Princess-Paris_Ile_de_France.html,Oh My Princess,,13
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7724909-Reviews-Centre_Kapla-Paris_Ile_de_France.html,Centre Kapla,,12
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12373928-Reviews-VirtualTime-Paris_Ile_de_France.html,VirtualTime,,23
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d245001-Reviews-Forum_des_Images-Paris_Ile_de_France.html,Forum des images,Salles de cin√©ma,7
Jeux et divertissements ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d11826553-Reviews-Pathe_La_Villette-Paris_Ile_de_France.html,Path√© La Villette,Salles de cin√©ma,35
